missing_documents,document_errors,dependencies,inspection_required,application_complexity,days_to_deadline,number_of_requirements,high_risk
2,2,1,0,2,49,14,1
1,0,4,1,1,80,12,0
3,0,4,0,1,73,5,0
1,1,1,1,2,63,6,0
3,0,1,1,2,43,7,1
0,0,0,1,1,34,5,0
1,1,1,1,2,33,7,0
3,4,1,0,1,43,11,1
3,1,0,0,2,91,11,1
1,1,0,0,3,99,4,0
0,2,0,0,3,14,7,0
3,1,0,0,1,7,13,1
1,0,1,0,3,57,13,0
0,0,0,0,3,92,10,0
0,0,0,1,2,67,12,0
1,1,2,0,3,99,6,0
1,0,0,0,1,85,13,0
2,1,1,0,1,85,9,0
2,1,4,0,3,65,11,1
0,1,1,0,2,7,6,0
1,1,0,0,2,22,5,0
0,1,0,0,1,89,9,0
0,0,1,1,1,37,9,0
3,1,0,1,1,87,10,0
1,0,1,0,1,41,12,0
0,1,0,0,3,2,12,1
0,0,0,1,1,81,7,0
2,0,1,1,3,107,9,1
2,1,1,1,1,54,4,0
1,0,2,0,2,16,12,0
0,0,1,0,3,50,5,0
1,0,0,0,1,115,4,0
2,1,1,1,1,38,9,1
0,0,2,0,3,9,14,0
0,0,0,1,1,92,8,0
0,0,2,0,1,29,6,0
2,0,0,1,3,5,6,1
1,2,2,0,2,83,13,0
1,0,3,0,2,41,11,0
0,0,1,0,1,17,9,0
0,0,1,1,1,7,14,0
2,1,0,0,2,23,5,0
1,2,1,0,2,18,10,1
2,1,1,1,1,2,7,1
1,0,1,1,3,45,6,1
1,1,1,1,3,99,14,1
0,1,0,1,2,48,14,0
3,0,0,0,2,5,13,0
3,1,0,1,2,105,5,1
0,1,1,0,2,76,11,0
0,0,0,1,1,115,7,0
2,0,0,1,3,70,8,0
1,1,1,0,2,57,6,0
0,1,2,0,3,61,10,0
3,0,2,1,3,1,13,1
2,0,3,1,1,45,6,0
0,0,0,1,2,53,9,0
1,1,1,1,2,36,11,0
1,1,1,0,2,100,10,1
0,0,1,0,3,114,6,0
0,2,0,0,1,57,4,0
1,0,0,0,2,94,13,0
2,1,3,0,3,27,10,1
1,0,2,1,3,110,11,0
3,1,2,0,1,84,9,0
1,4,1,1,3,88,8,1
2,1,0,1,1,71,6,0
0,0,2,0,2,99,11,0
1,0,0,1,1,64,13,0
1,0,1,1,2,115,7,0
2,2,0,0,1,79,4,0
1,0,2,0,1,54,5,0
1,1,1,0,2,25,10,0
3,2,0,1,3,108,6,0
1,0,2,0,2,7,12,1
0,0,0,0,2,6,6,0
1,0,0,1,2,4,9,1
2,0,0,1,2,13,6,0
1,0,0,1,1,30,8,0
1,0,0,1,1,59,11,0
1,0,1,0,2,33,12,0
0,0,2,0,3,55,12,0
3,1,1,1,1,54,9,0
3,1,0,0,2,53,9,0
2,0,1,0,3,8,7,0
0,0,0,1,3,64,14,0
1,1,0,0,1,36,12,0
1,0,1,0,3,65,13,1
0,0,1,0,2,8,12,0
1,1,1,1,2,104,4,0
0,0,2,0,3,86,6,0
2,1,0,0,1,42,9,1
1,0,2,1,3,43,7,0
2,1,0,1,2,38,13,0
0,0,0,0,3,118,9,0
0,0,0,0,3,84,6,0
0,0,0,0,2,55,10,0
1,2,0,0,1,78,8,0
2,0,0,0,1,8,5,0
0,1,3,0,3,99,14,0
3,0,1,0,2,71,14,1
0,1,1,0,3,37,12,0
2,1,3,0,2,83,7,1
3,0,1,1,2,1,13,1
1,2,0,0,3,59,7,0
2,0,0,0,3,113,13,1
0,1,0,0,2,91,13,0
2,0,1,1,1,6,5,1
3,1,0,0,3,71,7,0
0,0,2,0,3,81,11,0
0,0,1,1,2,63,6,0
2,1,1,1,2,39,12,0
2,2,1,1,1,81,11,1
1,0,1,0,2,51,6,0
1,0,1,0,1,113,12,0
2,0,0,0,1,100,4,0
0,2,2,0,3,109,8,0
0,0,0,0,2,50,5,0
2,0,0,0,3,81,4,0
0,1,2,0,2,18,12,0
1,1,1,1,1,90,5,0
1,2,0,0,2,90,11,0
0,0,1,0,1,93,4,0
1,1,2,1,2,3,13,1
0,0,2,1,3,55,14,0
0,0,1,0,3,33,7,0
0,0,0,1,3,109,9,0
0,1,1,0,3,65,10,0
0,0,0,1,3,73,10,0
0,1,1,0,2,53,4,0
0,0,3,1,2,14,14,1
2,2,1,0,2,74,14,1
1,1,0,1,1,73,9,0
2,0,2,0,2,46,10,0
0,2,0,0,2,75,5,0
0,0,1,0,1,47,12,0
0,0,2,1,3,79,9,1
1,0,1,0,1,42,7,0
0,2,0,1,2,93,7,0
1,0,3,0,3,106,4,0
0,0,1,1,2,58,12,0
1,0,0,1,3,3,4,0
1,1,0,0,3,82,10,0
5,0,1,1,2,112,12,1
1,2,1,1,3,85,4,0
1,0,3,1,2,43,5,0
2,0,2,0,2,68,12,1
1,0,0,1,2,44,13,0
0,0,0,0,2,93,4,0
1,1,2,0,2,87,6,0
0,0,1,0,1,75,10,0
1,1,1,1,2,47,9,0
1,1,2,1,3,21,9,1
1,2,0,0,3,74,6,0
3,1,0,0,3,41,9,1
2,0,1,0,1,108,4,0
2,0,2,0,2,8,13,1
0,0,0,1,2,101,9,0
1,0,1,1,1,93,8,0
2,0,1,1,2,62,8,0
1,0,1,1,2,119,8,0
1,0,0,0,3,86,8,0
1,0,1,0,1,5,6,0
4,1,0,0,3,47,10,1
1,1,1,1,3,101,6,0
1,2,0,1,2,93,7,0
1,1,0,0,1,20,13,0
2,1,0,0,1,21,10,0
3,0,1,0,3,110,13,0
2,1,2,1,1,6,11,1
0,0,0,0,1,114,12,0
0,0,0,0,3,65,4,0
1,0,0,0,3,97,9,0
2,0,0,1,2,26,7,0
2,1,1,1,1,41,4,0
1,0,1,0,2,87,4,0
0,1,1,1,3,20,6,0
0,0,0,0,2,13,4,0
